Frequency ID,Real Part,Imaginary Part
33560,-3.2901763916015625e-05,3090.096435546875
4280,-3.290176755399443e-05,1442.9210205078125
53432,-3.290177119197324e-05,-1998.2369384765625
1720,-3.2901774829952046e-05,2244.799072265625
64952,-3.290177846793085e-05,5532.32275390625
29368,-3.290178210590966e-05,5152.1689453125
5560,-3.290178574388847e-05,190.14837646484375
44216,-3.2901789381867275e-05,-4810.78076171875
17080,-3.290179301984608e-05,-5220.0380859375
35000,-3.290179665782489e-05,-9376.3935546875
6584,-3.2901800295803696e-05,6729.5498046875
25016,-3.29018039337825e-05,-21008.751953125
31928,-3.290180757176131e-05,-6635.634765625
1720,-3.290181120974012e-05,-198.55311584472656
59832,-3.2901814847718924e-05,4008.70361328125
53944,-3.290181848569773e-05,7143.4755859375
34488,-3.290182212367654e-05,6664.669921875
58808,-3.2901825761655346e-05,-14305.3896484375
10424,-3.290182939963415e-05,21738.44140625
47032,-3.290183303761296e-05,961.719482421875
26296,-3.290183667559177e-05,3562.947021484375
13752,-3.2901840313570574e-05,-10391.1533203125
45752,-3.290184395154938e-05,6497.33251953125
4536,-3.290184758952819e-05,3913.99560546875
10680,-3.2901851227506995e-05,-8704.1796875
61880,-3.29018548654858e-05,-8883.3056640625
12728,-3.290185850346461e-05,-3477.911376953125
34744,-3.2901862141443416e-05,1943.142578125
5304,-3.2901865779422224e-05,8055.33935546875
29880,-3.290186941740103e-05,-2882.82275390625
2744,-3.290187305537984e-05,-4002.06396484375
18360,-3.2901876693358645e-05,-10850.7841796875
64696,-3.290188033133745e-05,-155.11004638671875
38840,-3.290188396931626e-05,2413.968994140625
10680,-3.2901887607295066e-05,32746.099609375
22968,-3.290189124527387e-05,-4408.115234375
15544,-3.290189488325268e-05,-371.8801574707031
21944,-3.290189852123149e-05,3077.990966796875
33720,-3.2901902159210294e-05,9406.255859375
64440,-3.29019057971891e-05,-3066.848876953125
5048,-3.290190943516791e-05,6200.7890625
19128,-3.2901913073146716e-05,4782.8759765625
15032,-3.290191671112552e-05,-7430.02099609375
18360,-3.290192034910433e-05,4109.54541015625
31416,-3.290192398708314e-05,-8.960827827453613
10936,-3.2901927625061944e-05,1170.6287841796875
36792,-3.290193126304075e-05,2473.711669921875
51896,-3.290193490101956e-05,7900.724609375
49336,-3.2901938538998365e-05,12352.294921875
43192,-3.290194217697717e-05,9647.18359375
44728,-3.290194581495598e-05,-8866.5849609375
57784,-3.290194945293479e-05,5313.005859375
5048,-3.2901953090913594e-05,2283.58544921875
16056,-3.29019567288924e-05,2188.0537109375
18616,-3.290196036687121e-05,-33109.94140625
46008,-3.2901964004850015e-05,-12003.927734375
13752,-3.290196764282882e-05,23821.177734375
43192,-3.290197128080763e-05,-6308.19287109375
62136,-3.2901974918786436e-05,4757.8916015625
7096,-3.2901978556765243e-05,5024.42529296875
51384,-3.290198219474405e-05,4541.3115234375
54968,-3.290198583272286e-05,7189.38671875
43960,-3.2901989470701665e-05,2491.670166015625
50872,-3.290199310868047e-05,5737.01318359375
27320,-3.290199674665928e-05,4912.6259765625
13240,-3.2902000384638086e-05,2068.476806640625
35000,-3.290200402261689e-05,-54804.15234375
39352,-3.29020076605957e-05,728.1741943359375
8120,-3.290201129857451e-05,3479.01171875
50360,-3.2902014936553314e-05,2545.213623046875
60088,-3.290201857453212e-05,9963.001953125
65208,-3.290202221251093e-05,18643.537109375
20664,-3.2902025850489736e-05,2666.5205078125
21432,-3.290202948846854e-05,19186.75390625
64440,-3.290203312644735e-05,6374.76318359375
